rok;pocet
1968;250
1981;200
1993;500
1994;653
1995;728
1996;879
1997;1041
1998;1041
1999;1079
2000;1100
2001;1010
2002;1120
2003;1100
2004;1080
2005;980
2006;985
2007;0
2008;400
2009;1004
2010;1350
2011;1403
2012;1253
2013;1818
2014;1110
2015;1589
2016;1763
2017;1790
2018;1612
2019;2115
2020;2174
2021;1469
2022;2748
2023;2585
