rok;FF;FF_juv
2010;NA;420
2011;NA;338
2012;NA;425
2013;NA;420
2014;NA;478
2015;NA;412
2016;316;535
2017;277;530
2018;260;398
2019;235;381
2020;183;431
2021;258;285
2022;342;457
2023;311;323
