rok;FF;FF_juv
2012;NA;6
2013;NA;15
2014;NA;33
2015;NA;17
2016;NA;45
2017;1;20
2018;9;1
2019;12;10
2020;14;30
2021;26;12
2022;31;70
2023;29;30
